title,description,prerequisites,prereq_text,course_code,terms,professors,terms_str,professors_str
MATH 7510 - Graph Algorithms,"Algorithms for graph problems such as maximum flow, covering, matching, coloring, planarity, minimum cuts, shortest paths, and connectivity.  Crosslisted with ISYE 7510 and CS 7510.","['CS 6550', 'CS 6505']",CS 6505 or CS 6550,MATH 7510,['spring2009'],['Robin   Thomas'],spring2009,Robin Thomas
MATH 7581 - Calculus Variations,"Minimization of functionals, Euler-Lagrange equations, sufficient conditions for a minimum; geodesic, isoperometric, and time of transit problems; variational principles of mechanics; applications to control theory.",['MATH 4317'],MATH 4317,MATH 7581,['spring2024' 'spring2022' 'spring2020' 'spring2018' 'spring2012'],['Albert   Fathi' 'Thomas D  Morley' 'John   McCuan'],"spring2024, spring2022, spring2020, spring2018, and spring2012","Albert Fathi, Thomas D Morley, and John McCuan"
MATH 7586 - Tensor Analysis,"Review of linear algebra, multilinear algebra, algebra of tensors, co- and contravariant tensors, tensors in Riemann spaces, geometrical interpretation of skew tensors.","['MATH 2403', 'MATH 4305', 'MATH 2406']",MATH 2403 and (MATH 2406 or MATH 4305 ),MATH 7586,[],[],,
MATH 8305 - Aural-Oral Engl for Math,"Enhancement of English listening/speaking skills for SOM international graduate students, post-docs, and new faculty who speak English as their second language (ESL) and who will be teaching undergraduate students.",[],,MATH 8305,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2020'],['Morag C.  Burke' 'Cathleen C.  Jacobson'],"fall2024, fall2023, fall2022, fall2021, and fall2020","Morag C. Burke, and Cathleen C. Jacobson"
MATH 8306 - Intermed Academic Commun,Continued enhancement of English listening/speaking skills for current and future SOM graduate international teaching assistants and international lead instructors who speak English as their second language (ESL).,['MATH 8305'],MATH 8305,MATH 8306,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'spring2021'],['Morag C.  Burke' 'Cathleen C.  Jacobson'],"spring2025, spring2024, spring2023, spring2022, and spring2021","Morag C. Burke, and Cathleen C. Jacobson"
MATH 8307 - Advanced Academic Commun,Continued enhancement of English listening/speaking skills for current and future SOM graduate international teaching assistants and international lead instructors who speak English as their second language (ESL).,['MATH 8305'],MATH 8305,MATH 8307,['spring2025' 'spring2024' 'spring2023' 'spring2022' 'fall2022'],['Morag C.  Burke' 'Cathleen C.  Jacobson'],"spring2025, spring2024, spring2023, spring2022, and fall2022","Morag C. Burke, and Cathleen C. Jacobson"
MATH 8801 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8801,['fall2024' 'fall2023' 'fall2022' 'fall2021' 'fall2018'],['Molei   Tao' 'Morag C.  Burke' 'Robin   Thomas'],"fall2024, fall2023, fall2022, fall2021, and fall2018","Molei Tao, Morag C. Burke, and Robin Thomas"
MATH 8802 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8802,['fall2015' 'fall2014'],['Martin   Engman'],"fall2015, and fall2014",Martin Engman
MATH 8803 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8803,['spring2025' 'spring2024' 'fall2024' 'spring2023' 'fall2023'],"['Gong   Chen' 'Chongchun   Zeng' 'Alexander   Dunn' 'Hao-Min   Zhou'
 'Rose Marie  McCarty']","spring2025, spring2024, fall2024, spring2023, and fall2023","Gong Chen, Chongchun Zeng, Alexander Dunn, Hao-Min Zhou, and Rose Marie McCarty"
MATH 8804 - Special Topics,This course enables the School of Mathematics to comply with requests for courses in selected topics.,[],,MATH 8804,[],[],,
